id,formattedAddress,addressLine1,addressLine2,city,state,stateFips,zipCode,county,countyFips,latitude,longitude,propertyType,bedrooms,bathrooms,squareFootage,lotSize,yearBuilt,hoa/fee,features/floorCount,lastSaleDate,lastSalePrice,history/2025-06-30/event,history/2025-06-30/date
"4793-Captain-Isaac-Camacho,-Unit-A,-El-Paso,-TX-79938","4793 Captain Isaac Camacho, Unit A, El Paso, TX 79938",4793 Captain Isaac Camacho,Unit A,El Paso,TX,48,79938,El Paso,141,31.820401,-106.243731,Townhouse,3,2,1300,,2025,,,,,,
"9779-Mccombs-St,-Unit-A1,-El-Paso,-TX-79924","9779 Mccombs St, Unit A1, El Paso, TX 79924",9779 Mccombs St,Unit A1,El Paso,TX,48,79924,El Paso,141,31.890854,-106.40728,Townhouse,3,2,1368,,2024,,,,,,
"1060-Hoppas-Ct,-Unit-A-D,-El-Paso,-TX-79932","1060 Hoppas Ct, Unit A-D, El Paso, TX 79932",1060 Hoppas Ct,Unit A-D,El Paso,TX,48,79932,El Paso,141,31.88769,-106.628448,Townhouse,12,8,5172,,2022,,,,,,
"6521-Ta-Suil-Pl,-Unit-D,-El-Paso,-TX-79932","6521 Ta Suil Pl, Unit D, El Paso, TX 79932",6521 Ta Suil Pl,Unit D,El Paso,TX,48,79932,El Paso,141,31.889271,-106.628517,Townhouse,3,3,1645,,2024,,,,,,
"6305-Palo-Verde-Pl,-Unit-A,-El-Paso,-TX-79912","6305 Palo Verde Pl, Unit A, El Paso, TX 79912",6305 Palo Verde Pl,Unit A,El Paso,TX,48,79912,El Paso,141,31.833517,-106.53476,Townhouse,3,2.5,1576,,2025,,,,,,
"6305-Palo-Verde-Pl,-Unit-B,-El-Paso,-TX-79912","6305 Palo Verde Pl, Unit B, El Paso, TX 79912",6305 Palo Verde Pl,Unit B,El Paso,TX,48,79912,El Paso,141,31.833517,-106.53476,Townhouse,3,2.5,1576,,2025,,,,,,
"6305-Palo-Verde-Pl,-Unit-D,-El-Paso,-TX-79912","6305 Palo Verde Pl, Unit D, El Paso, TX 79912",6305 Palo Verde Pl,Unit D,El Paso,TX,48,79912,El Paso,141,31.833517,-106.53476,Townhouse,3,2.5,1576,,2025,,,,,,
"6305-Palo-Verde-Pl,-Unit-C,-El-Paso,-TX-79912","6305 Palo Verde Pl, Unit C, El Paso, TX 79912",6305 Palo Verde Pl,Unit C,El Paso,TX,48,79912,El Paso,141,31.833517,-106.53476,Townhouse,3,2.5,1576,,2025,,,,,,
"201-N-Desert-Pass-St,-Unit-7,-El-Paso,-TX-79912","201 N Desert Pass St, Unit 7, El Paso, TX 79912",201 N Desert Pass St,Unit 7,El Paso,TX,48,79912,El Paso,141,31.835987,-106.559235,Townhouse,3,2.5,1791,1742,2025,220,,,,,
"201-N-Desert-Pass-St,-Unit-4,-El-Paso,-TX-79912","201 N Desert Pass St, Unit 4, El Paso, TX 79912",201 N Desert Pass St,Unit 4,El Paso,TX,48,79912,El Paso,141,31.835987,-106.559235,Townhouse,3,3.5,1936,1307,2025,220,,,,,
