id,formattedAddress,addressLine1,addressLine2,city,state,stateFips,zipCode,county,countyFips,latitude,longitude,propertyType,bedrooms,bathrooms,squareFootage,lotSize,yearBuilt,hoa/fee
"15257-Purpose-Ave,-El-Paso,-TX-79938","15257 Purpose Ave, El Paso, TX 79938",15257 Purpose Ave,,El Paso,TX,48,79938,El Paso,141,31.802529,-106.192889,Single Family,4,2,1535,5942,2025,
"3760-Chart-Pl,-El-Paso,-TX-79938","3760 Chart Pl, El Paso, TX 79938",3760 Chart Pl,,El Paso,TX,48,79938,El Paso,141,31.802011,-106.196532,Single Family,4,2.5,1801,7814,2025,
"15064-Ambition-Ave,-El-Paso,-TX-79938","15064 Ambition Ave, El Paso, TX 79938",15064 Ambition Ave,,El Paso,TX,48,79938,Hudspeth,229,31.804107,-105.939871,Single Family,4,1.5,1535,5815,2025,60
"15053-Ambition,-El-Paso,-TX-79938","15053 Ambition, El Paso, TX 79938",15053 Ambition,,El Paso,TX,48,79938,El Paso,141,31.805745,-106.2077,Single Family,4,3,2350,5227,2025,
"15045-Ambition-Ct,-El-Paso,-TX-79938","15045 Ambition Ct, El Paso, TX 79938",15045 Ambition Ct,,El Paso,TX,48,79938,El Paso,141,31.806309,-106.200958,Single Family,3,2,1650,5227,2025,
"15253-Gauge-Ct,-El-Paso,-TX-79938","15253 Gauge Ct, El Paso, TX 79938",15253 Gauge Ct,,El Paso,TX,48,79938,El Paso,141,31.798764,-106.190679,Single Family,4,2.5,2001,7405,2025,
"15004-Ambition-Ave,-El-Paso,-TX-79938","15004 Ambition Ave, El Paso, TX 79938",15004 Ambition Ave,,El Paso,TX,48,79938,Hudspeth,229,31.803533,-105.937593,Single Family,3,1.5,1527,5227,2025,
"15028-Ambition-Ave,-El-Paso,-TX-79938","15028 Ambition Ave, El Paso, TX 79938",15028 Ambition Ave,,El Paso,TX,48,79938,Hudspeth,229,31.803533,-105.937593,Single Family,4,2,1495,5227,2025,
"15016-Ambition-Ave,-El-Paso,-TX-79938","15016 Ambition Ave, El Paso, TX 79938",15016 Ambition Ave,,El Paso,TX,48,79938,Hudspeth,229,31.803533,-105.937593,Single Family,4,1.5,1535,5227,2025,
"15032-Ambition-Ave,-El-Paso,-TX-79938","15032 Ambition Ave, El Paso, TX 79938",15032 Ambition Ave,,El Paso,TX,48,79938,El Paso,141,31.803964,-106.197639,Single Family,4,3,1535,5227,2025,
"15008-Ambition-Ave,-El-Paso,-TX-79938","15008 Ambition Ave, El Paso, TX 79938",15008 Ambition Ave,,El Paso,TX,48,79938,Hudspeth,229,31.803533,-105.937593,Single Family,3,1.5,1583,5227,2025,
"15036-Ambition-Ave,-El-Paso,-TX-79938","15036 Ambition Ave, El Paso, TX 79938",15036 Ambition Ave,,El Paso,TX,48,79938,Hudspeth,229,31.803533,-105.937593,Single Family,3,1.5,1527,5227,2025,
"15020-Ambition-Ave,-El-Paso,-TX-79938","15020 Ambition Ave, El Paso, TX 79938",15020 Ambition Ave,,El Paso,TX,48,79938,Hudspeth,229,31.803533,-105.937593,Single Family,3,1.5,1527,5227,2025,
"15024-Ambition-Ave,-El-Paso,-TX-79938","15024 Ambition Ave, El Paso, TX 79938",15024 Ambition Ave,,El Paso,TX,48,79938,Hudspeth,229,31.803533,-105.937593,Single Family,3,1.5,1583,5227,2025,
"15233-Purpose-Dr,-El-Paso,-TX-79938","15233 Purpose Dr, El Paso, TX 79938",15233 Purpose Dr,,El Paso,TX,48,79938,Hudspeth,229,31.803533,-105.937593,Single Family,3,1.5,1583,5313,2025,
"15060-Ambition-Ave,-El-Paso,-TX-79938","15060 Ambition Ave, El Paso, TX 79938",15060 Ambition Ave,,El Paso,TX,48,79938,Hudspeth,229,31.803533,-105.937593,Single Family,4,2,1495,5227,2025,
"15048-Ambition-Dr,-El-Paso,-TX-79938","15048 Ambition Dr, El Paso, TX 79938",15048 Ambition Dr,,El Paso,TX,48,79938,Hudspeth,229,31.803533,-105.937593,Single Family,4,1.5,1535,5227,2025,
"15052-Ambition-Dr,-El-Paso,-TX-79938","15052 Ambition Dr, El Paso, TX 79938",15052 Ambition Dr,,El Paso,TX,48,79938,Hudspeth,229,31.803533,-105.937593,Single Family,3,2,1527,5227,2025,
"15040-Ambition-Ave,-El-Paso,-TX-79938","15040 Ambition Ave, El Paso, TX 79938",15040 Ambition Ave,,El Paso,TX,48,79938,Hudspeth,229,31.803533,-105.937593,Single Family,3,1.5,1583,5227,2025,
"15253-Purpose-Ave,-El-Paso,-TX-79938","15253 Purpose Ave, El Paso, TX 79938",15253 Purpose Ave,,El Paso,TX,48,79938,El Paso,141,31.802529,-106.192889,Single Family,3,2,1527,5313,2025,
"15245-Purpose-Ave,-El-Paso,-TX-79938","15245 Purpose Ave, El Paso, TX 79938",15245 Purpose Ave,,El Paso,TX,48,79938,El Paso,141,31.802529,-106.192889,Single Family,4,1.5,1495,5313,2025,
"15240-Imagine-Dr,-El-Paso,-TX-79938","15240 Imagine Dr, El Paso, TX 79938",15240 Imagine Dr,,El Paso,TX,48,79938,El Paso,141,31.803067,-106.19289,Single Family,4,2,1535,5227,2025,
"15228-Imagine-Dr,-El-Paso,-TX-79938","15228 Imagine Dr, El Paso, TX 79938",15228 Imagine Dr,,El Paso,TX,48,79938,El Paso,141,31.803067,-106.19289,Single Family,4,1.5,1495,5227,2025,
"15224-Imagine-Dr,-El-Paso,-TX-79938","15224 Imagine Dr, El Paso, TX 79938",15224 Imagine Dr,,El Paso,TX,48,79938,El Paso,141,31.803067,-106.19289,Single Family,4,2,1535,5227,2025,
"15236-Imagine-Dr,-El-Paso,-TX-79938","15236 Imagine Dr, El Paso, TX 79938",15236 Imagine Dr,,El Paso,TX,48,79938,El Paso,141,31.803067,-106.19289,Single Family,3,2,1527,5227,2025,
